RestaurantID,Cuisine
qsloVpHr2o2If3XWldHlNA,american
pJfy-huJiMxJVc-4fWDYuQ,american
4_XK2wWRk-tx0ZTdi2CiGg,american
NOcqOq04qgqVwEhqDRFx6w,american
IGZkGbwE36iE1yaDW5NNKA,american
C74MT6T_Ew0fCZjuWU96jQ,american
ECbvfMyJMd2SpNRb_01I5A,american
27aEpgY7F1AnppaulRnGYg,american
1hScmfYV42XshcprL79MAQ,american
1LIptXhtDh58vAA-QPFL4w,american
csVEpHy5KJoFvM1qp5XwLQ,american
jevq-ij8OyoNEdP8Dcw-Nw,american
oBcqZs0CAZjsLuMB-mNJ6A,american
xiwnLiNhSlEN4CDcurqsLQ,american
FDhubKx8of1S3qLZD67WMw,american
5YV3zSR18X4Ja6d-TOEtyA,american
tKqEagLUrKniTfxs0KHWCw,american
LHxZgTddXIp_S1sL3nNG9w,american
r7qbqhkIannzvCtMxgC6Rg,american
izPtlTgNT9WnibeRrXmvsQ,american
drSJJWL7lsG8dSRYI--6wQ,american
0PtqrJCFkGZ8W9pEDR1fqA,american
vgHwR_1RQTHFjEXeY0oUnA,american
kaNGzFxgfvSvjidMBGHkBw,american
6zH2Ih2Hw2wwf9ssIbZYRw,american
7N9guQY_2a3gXXIlBQGKtA,american
eFS3e9ctodj4aBTzRv_vtQ,american
pPdGUL90xZ7YIUvTLYcmIw,american
Ms1p17KsYteDlkvHnllC2g,american
_X5AVAvW580VdAbh10FCTw,american
cLuYiAY5Xy1nejaX_R4oHw,american
v4X0_xdRmVDQ5qgyGAubHw,american
1aD88qNRb08LGBkl84GQTA,american
xTq-F5nRIOV494iKQJxWeA,american
BmcpuUZ5DnpkxD6eztflKg,american
-2aMphgYYnoxncuZ7xI3Gw,american
AYU6XdEvhMtes5H134ZjXA,american
DY0y0KPwu8LnQteNB-uoAQ,american
C-qsaCzeaFIsLrupYt4ZQA,american
zooS5ms4-vz3evQ3Cn6tmA,american
IY9NuJdUQHkTjBqZYfFNSQ,american
8ehHoCBvudFwyhVywL99PQ,american
0zoH7DYisCVenAQUQzr5VA,american
0y6eQXDw2RDLuBwkY02xGA,american
LRQQJeNu04wA3Z3SjeVrGQ,american
IiyMOi_7WDfVGJEqojyUTw,american
djJhPAJq96b3_NjicH9HIg,american
kctef59qqlzJNqAc1ZGEvg,american
PmFFar8XTHHft1BVE0NpCg,american
4gLLWT4dFnfrcuREA5eg0w,american
L3XlMWq9WkeXI-OnqvdENA,american
mp7YQdBWIHqmJoZlr-K32g,american
5wPuuBi8fxhgpfAjYG2O8w,american
jLo_VpbbZ2b1NcM1y2XbgQ,american
ztgJJSidCZCNfGv1OMq0sQ,american
T-ciFE0hc6O2JDY8Y1cDgg,american
0F77mYVmwOPTQrarG9UHkQ,american
hR7_M9S7nSfv_z0R1BWOCw,american
YYnZ5nA1CVXpNCtlLA7nHQ,american
ryvBsB9FrBBZDak87iGS1w,american
Q_bI2gY7LtMCXkzkakPUkg,american
FwygEW3PBBh9g4ELNLpS8w,american
JUKMeUuTKJ3xbgmvv5s9qQ,american
n3BpVXkT6MrT8cy-I5Iv3A,american
b_R7IsGb9Fi6QzjADMSaww,american
8M6IYVT57FhtFosK34cpxg,american
X5wyRbVV7x2OW-FxH5OokQ,american
3KztPt62_BR1EO2_RCRhBQ,american
SQS9wteNCLoVStkVK0oZNA,american
385dBJhfqbvRShZ2ADdBZw,american
Eomoxptcfby96iDCkxMzIg,american
OtbPn7ePP9bikQ_jXKS28A,american
5JE1pUQ9EetQjY0hm1uj6A,american
eDfJOJcQynmEjSoVfmJkqg,american
bOHWY14f1u8rR1t2ggmbYw,american
bxju4seaE8hE-HpLrBomgw,american
77EedCTJY1biWIYSzAulCQ,american
YnOLKAOE09BcsoU61ExlkA,american
FhK_owSqLZLLqtFLzjK-fQ,american
7Ui-wOox7975OuoQpLIUvg,american
yxsIwFMq5beQBRJD3yyKPw,american
C8K3kTQ2NX5mm4jzQBRVUg,american
_-Gb3IAx74cyka9yTOb_oA,american
dHSAudRt-uIE-4kE6ZnwOg,american
goKn7tKTIqpNPM_jR2yRCg,american
KCw6yqjUUdojKF3LxadiUg,american
TGv0foMp3aBjlrugbE6qGQ,american
kaSd6qzlsxn__ILDtGf3iA,american
sX1YVKCSXqp03HdUm7iBZg,american
zHh6ioC3tSXBFhXXuXrL8A,american
Vf38zUk09gMgEzg60BrACA,american
PYmjoid5P-Mw8dkkKxZy6w,american
Tb4J6rlRYVrJ_IL5CjbJTQ,american
zzVeJukpmXchLTQQhxzQjQ,american
XrejK2kOO2tUkwN0JFKCBw,american
KifkRh0gGD0voBw4FHFCVA,american
Knbn0h4MA1KX5Fv3eZfK4w,american
o-FxsaWAM3JwMMqxQb3MbQ,american
EaNRl3vlDOsNF-gkCR5mBA,american
jW4PUFUQnarsH9K2JgiKuw,american
hwkePen_Ewq3zR8P2P4Bdw,american
vJpfMVBybyEF8p_qXWs0ug,american
AMKfcgLEg4uLuLsuBFNeHA,american
0LKC_M1bumyOcgWgbH9OdQ,american
6XOHtRjdsityvdY0LniKyA,american
geK1cHXH0kkgI30j2XN0WQ,american
xGegODk2DyGam3n03Wk1fg,american
wXpCNNTT2kqh-fTnSWXdEA,american
bkIMbvXOcztDVz8bpyhMzQ,american
OKSmyG8IAXOiIfGjcPkiEQ,american
tjsbqmIaoylzDUqjXpZuKw,american
cSRzfprFfAnT1nAcQMgrDA,american
FzK3krlvA4fBHsuagggaIw,american
PnGSE8JGbMZKtdHi9go7Kg,american
oScXqymdWaWpUltHhR3NEQ,american
7NFnAxUjfiYg8QrGsjMJKw,american
3004g82RXwKoqaenSqBVEg,american
QdmvRfJb86BVvk6A-J5gAg,american
Uvb04kXjHJgIzxi2iroyQw,american
XsElXaLxUPKquI78poB8yw,american
1Lsb6F7DprPLabtbMHNURA,american
0EIIFAq7YmPk3tgPzVx82g,american
xTWpl9DgIkkr5B8h8_xUpA,american
l76zEciK7TQpEuGfznI4HQ,american
l1n_KhFcFJs5YAxudRDNFg,american
LW_t_KO6SybdAHMtNilAEA,american
K_0tNvQd7gyabfJrodf-tw,american
N9cTbhwpTIcex_Je9Vx7lQ,american
UILT56veNs63NASF3dGRKA,american
tsiC3VpO-hZEb98Qk3p-DQ,american
Q0DuWWI3ewpL7ybGHlt-uA,american
IJg3TdXz8IzKTfcspmr8MQ,american
NESMnB6RYx9lPbWLLswFLA,american
6AC4yhUdnh64zE6b5-n6OQ,american
xVdM_oiifw257tjg4WEA5A,american
vk3ilGNArYA1r5nroLyJCA,american
oBmL0jr575wzszVGdqfVoA,american
5LqclCP-RTj61-5QNo0jZw,american
SXEnbcwgIcueFdvWtkAW-g,american
1oSScsLRONvHppf8i67yoQ,american
YQSb6X8_yE3R69L4ymvAGg,american
UveVdthLfWt_RFXMf1Wwzw,american
abCdjgGqK1jVYtzsDYQBqQ,american
hnqo9r10LQLzDynaqmFnhw,american
OPLAhJnYMarLj0HBs-P5yg,american
